atom_num_X,atom_num_Y,atom_num_Z,d_val_X,d_val_Y,d_val_Z,num_valence,tot_mag
22,27,33,3.0,8.0,0.0,22.0,-0.029
21,21,49,2.0,2.0,0.0,12.0,-0.943
28,25,51,9.0,6.0,0.0,32.0,3.875
26,27,82,7.0,8.0,0.0,29.0,5.964
21,25,5,2.0,6.0,0.0,16.0,-0.004
21,30,14,2.0,10.0,0.0,22.0,0.0
27,21,13,7.0,1.0,0.0,24.0,-0.0
26,23,13,7.0,4.0,0.0,24.0,0.0
23,24,49,4.0,5.0,0.0,19.0,-1.859
21,29,5,2.0,10.0,0.0,20.0,0.0
21,24,50,2.0,5.0,0.0,16.0,-2.977
21,25,14,2.0,6.0,0.0,17.0,-0.318
26,21,51,7.0,2.0,0.0,24.0,0.002
28,23,33,9.0,4.0,0.0,30.0,0.004
24,24,32,5.0,5.0,0.0,22.0,-1.849
24,26,33,5.0,7.0,0.0,25.0,0.972
21,28,33,2.0,9.0,0.0,21.0,-0.099
24,23,14,5.0,4.0,0.0,21.0,-2.64
25,25,49,5.0,5.0,10.0,24.0,2.596
28,25,33,9.0,6.0,0.0,32.0,4.072
21,26,83,2.0,7.0,0.0,19.0,-1.487
25,28,49,5.0,8.0,10.0,27.0,7.557
23,24,32,4.0,5.0,0.0,20.0,-1.779
28,29,13,9.0,10.0,0.0,34.0,0.0
21,23,33,2.0,4.0,0.0,16.0,-1.803
23,29,50,4.0,10.0,0.0,25.0,0.246
23,21,82,4.0,2.0,0.0,17.0,-0.404
27,21,14,7.0,1.0,0.0,25.0,1.074
28,28,13,9.0,9.0,0.0,33.0,0.0
25,24,83,5.0,5.0,10.0,25.0,3.203
27,25,50,7.0,5.0,10.0,29.0,4.998
21,24,33,2.0,5.0,0.0,17.0,-0.58
24,23,51,5.0,4.0,0.0,22.0,-1.932
28,29,51,9.0,10.0,0.0,36.0,0.002
21,25,31,2.0,6.0,0.0,16.0,-2.459
28,25,49,9.0,6.0,0.0,30.0,4.13
25,30,31,5.0,10.0,10.0,29.0,4.716
24,27,51,5.0,8.0,0.0,26.0,1.997
23,23,82,4.0,4.0,0.0,19.0,-1.211
26,26,50,7.0,7.0,0.0,28.0,6.556
22,27,50,3.0,8.0,0.0,21.0,-2.612
28,24,83,9.0,5.0,0.0,31.0,3.403
23,29,13,4.0,10.0,0.0,24.0,0.086
25,25,14,5.0,5.0,0.0,25.0,0.986
28,28,31,9.0,9.0,0.0,33.0,0.0
24,26,50,5.0,7.0,0.0,24.0,0.011
22,30,51,3.0,10.0,0.0,25.0,0.002
21,26,33,2.0,7.0,0.0,19.0,-1.329
26,28,5,7.0,9.0,0.0,29.0,4.678
28,24,51,9.0,5.0,0.0,31.0,3.254
24,29,13,5.0,10.0,0.0,26.0,0.799
23,25,31,4.0,6.0,0.0,20.0,-1.858
23,27,50,4.0,8.0,0.0,23.0,-0.978
26,29,49,7.0,10.0,0.0,30.0,4.831
22,25,83,3.0,6.0,0.0,20.0,-0.51
22,29,13,3.0,10.0,0.0,22.0,-0.001
26,28,13,7.0,9.0,0.0,29.0,4.937
28,23,51,9.0,4.0,0.0,30.0,1.511
26,26,33,7.0,7.0,0.0,29.0,5.71
21,23,14,2.0,4.0,0.0,15.0,-2.362
28,23,13,9.0,4.0,0.0,28.0,0.003
26,27,13,7.0,8.0,0.0,28.0,5.18
22,24,13,3.0,5.0,0.0,17.0,-0.004
24,30,14,5.0,10.0,0.0,28.0,4.725
25,25,82,5.0,5.0,10.0,25.0,2.89
26,24,31,7.0,5.0,0.0,25.0,0.957
26,24,82,7.0,5.0,0.0,26.0,7.536
23,28,83,4.0,9.0,0.0,25.0,0.719
22,21,83,3.0,2.0,0.0,16.0,-1.363
26,28,31,7.0,9.0,0.0,29.0,4.944
24,27,13,5.0,8.0,0.0,24.0,0.114
22,30,82,3.0,10.0,0.0,24.0,0.738
28,28,33,9.0,9.0,0.0,35.0,0.002
28,29,5,9.0,10.0,0.0,34.0,0.0
24,26,32,5.0,7.0,0.0,24.0,0.012
23,25,14,4.0,6.0,0.0,21.0,-2.229
26,24,33,7.0,5.0,0.0,27.0,3.061
27,25,5,7.0,5.0,0.0,28.0,4.028
24,25,32,5.0,6.0,0.0,23.0,-0.827
26,24,5,7.0,5.0,0.0,25.0,0.919
22,26,82,3.0,7.0,0.0,20.0,-2.05
21,27,5,2.0,8.0,0.0,18.0,-0.1
24,28,13,5.0,9.0,0.0,25.0,1.028
24,30,32,5.0,10.0,0.0,28.0,4.989
28,29,82,9.0,10.0,0.0,35.0,0.0
26,29,33,7.0,10.0,0.0,32.0,4.081
28,30,13,9.0,10.0,0.0,35.0,0.0
24,27,82,5.0,8.0,0.0,25.0,1.036
24,28,31,5.0,9.0,0.0,25.0,0.972
26,28,51,7.0,9.0,0.0,31.0,5.0
21,23,51,2.0,4.0,0.0,16.0,-1.734
25,28,33,5.0,8.0,10.0,29.0,4.335
25,21,51,5.0,1.0,10.0,22.0,-1.998
21,25,83,2.0,6.0,0.0,18.0,-2.361
28,27,14,9.0,8.0,0.0,33.0,0.006
24,29,33,5.0,10.0,0.0,28.0,4.434
22,30,31,3.0,10.0,0.0,23.0,-0.01
22,28,31,3.0,9.0,0.0,21.0,-1.122
28,26,82,9.0,7.0,0.0,32.0,3.36
22,27,14,3.0,8.0,0.0,21.0,-0.048
26,29,51,7.0,10.0,0.0,32.0,4.297
27,23,32,7.0,3.0,10.0,27.0,2.861
28,30,82,9.0,10.0,0.0,36.0,0.001
