id,formula,X,Y,Z,struct,dE,form_en,lat,ahc,Tc,efermi,polarization,magX1,magX2,magY,magZ,magsum,ne,negativityX,negativityY,negativityZ,numX,numY,numZ,radiusX,radiusY,radiusZ,rXY,rYZ,rXZ,weightX,weightY,weightZ,densityX,densityY,densityZ,dipoleX,dipoleY,dipoleZ,latX,latY,latZ,structX,structY,structZ,periodX,periodY,periodZ,groupX,groupY,groupZ
996,Mn2TiGe,Mn,Ti,Ge,l21,0.964032,-0.40127025,5.871068006,29.9631,247.502,8.7518,0.911563,1.218,1.218,-0.431,-0.044,1.961,22,1.55,1.54,2.01,25,22,32,140,140,125,1,1.12,1.12,54.938044,47.867,72.63,7.3,4.506,5.3234,68,100,40,8.89,2.95,5.66,CUB,HEX,DIA,4,4,4,7,4,14
2842,V2TiGa,V,Ti,Ga,xa,-0.515595,-0.15661,6.152639341,29.8101,240.002,5.4013,0.154505,-0.302,0.743,-0.24,-0.002,0.199,17,1.63,1.54,1.81,23,22,31,135,140,130,0.964286,1.076923,1.038462,50.9415,47.867,69.723,6,4.506,5.91,87,100,50,3.02,2.95,4.51,BCC,HEX,ORC,4,4,4,5,4,13
2564,Ti2ScAs,Ti,Sc,As,xa,-0.411897,-0.2373335,6.507319859,29.366,112.502,6.716,0.207247,1.04,0.313,0.059,-0.026,1.386,16,1.54,1.36,2.18,22,21,33,140,160,115,0.875,1.391304,1.217391,47.867,44.955908,74.921595,4.506,2.99,5.75,100,97,30,2.95,3.31,4.13,HEX,HEX,RHL,4,4,4,4,3,15
2706,V2FeAl,V,Fe,Al,xa,-0.662977,-0.19731475,5.917632402,29.113,333.002,7.7661,0.346958,-0.211,1.749,1.142,-0.015,2.665,21,1.63,1.83,1.61,23,26,13,135,140,125,0.964286,1.12,1.08,50.9415,55.845,26.981538,6,7.87,2.7,87,62,57.8,3.02,2.87,4.05,BCC,BCC,FCC,4,4,3,5,8,13
2710,V2FeGa,V,Fe,Ga,xa,-0.408308,-0.15190225,5.915437543,28.497,313.502,6.597,0.13538,-0.244,1.702,1.204,-0.01,2.652,21,1.63,1.83,1.81,23,26,31,135,140,130,0.964286,1.076923,1.038462,50.9415,55.845,69.723,6,7.87,5.91,87,62,50,3.02,2.87,4.51,BCC,BCC,ORC,4,4,4,5,8,13
1391,Pd2FeGe,Pd,Fe,Ge,l21,0.117526,-0.16711825,6.154467919,28.4699,0,9.319,0.28494,0.086,0.086,3.055,-0.01,3.217,32,2.2,1.83,2.01,46,26,32,140,140,125,1,1.12,1.12,106.42,55.845,72.63,12,7.87,5.3234,26.14,62,40,3.89,2.87,5.66,FCC,BCC,DIA,5,4,4,10,8,14
402,Cr2NiGe,Cr,Ni,Ge,xa,-0.527704,-0.00149175,5.814339658,28.0733,0,9.4482,0.171538,2.369,-1.101,0.592,0,1.86,26,1.66,1.91,2.01,24,28,32,140,135,125,1.037037,1.08,1.12,51.9961,58.6934,72.63,7.15,8.9,5.3234,83,49,40,2.88,3.52,5.66,BCC,FCC,DIA,4,4,4,6,10,14
2894,V2ZrAs,V,Zr,As,l21,0.058227,-0.06704,6.236326842,27.9469,0,8.8287,0.198155,0.158,0.158,-0.015,-0.003,0.298,19,1.63,1.33,2.18,23,40,33,135,155,115,0.870968,1.347826,1.173913,50.9415,91.224,74.921595,6,6.52,5.75,87,112,30,3.02,3.23,4.13,BCC,HEX,RHL,4,5,4,5,4,15
2184,Sc2FeIn,Sc,Fe,In,l21,0.462637,-0.1806715,6.769276052,27.9225,108.002,5.556,0.300457,-0.262,-0.262,1.793,-0.087,1.182,17,1.36,1.83,1.78,21,26,49,160,140,155,1.142857,0.903226,1.032258,44.955908,55.845,114.818,2.99,7.87,7.31,97,62,65,3.31,2.87,4.59,HEX,BCC,TET,4,4,5,3,8,13
2485,Ti2MnSn,Ti,Mn,Sn,l21,0.193367,-0.15992075,6.434345025,27.9176,1141.5,7.3501,0.085826,-0.553,-0.553,2.062,0.015,0.971,19,1.54,1.55,1.96,22,25,50,140,140,145,1,0.965517,0.965517,47.867,54.938044,118.71,4.506,7.3,7.287,100,68,53,2.95,8.89,5.82,HEX,CUB,TET,4,4,5,4,7,14
