id,formula,X,Y,Z,energy,formation,lat,spacegroup,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
483378,Zn2SiAg,Zn,Ag,Si,-2.417,0.278,6.336082524517764,Fm-3m,0.0,0.0,0.0,0.0,0.0
736846,Zn2AgSn,Zn,Ag,Sn,-2.188,0.129,6.75962230771479,F-43m,0.0,0.0,0.0,0.0,0.0
743807,AlZn2Au,Zn,Au,Al,-2.439,-0.053,6.348942721858231,F-43m,0.0,0.0,0.0,0.0,0.0
481933,Zn2AsAu,Zn,Au,As,-2.541,0.071,6.451408862364207,Fm-3m,0.0,0.0,0.0,0.0,0.0
483974,Zn2BAu,Zn,Au,B,-2.458,0.661,6.129907769964778,Fm-3m,0.0,0.0,0.0,0.0,0.0
483900,Zn2BiAu,Zn,Au,Bi,-2.316,0.144,6.821959000707137,Fm-3m,0.0,0.0,0.0,0.0,0.0
482496,Zn2GaAu,Zn,Au,Ga,-2.231,-0.023,6.3971341335471985,Fm-3m,0.0,0.0,0.0,0.0,0.0
482433,Zn2GeAu,Zn,Au,Ge,-2.534,0.071,6.452177619385589,Fm-3m,0.0,0.0,0.0,0.0,0.0
743812,Zn2InAu,Zn,Au,In,-2.093,0.037,6.687300515201301,F-43m,0.0,0.0,0.0,0.0,0.0
1142315,MgZn2Au,Zn,Au,Mg,-2.083,-0.248,6.41351311466879,F-43m,0.0,0.0,0.0,0.0,0.0
483892,Zn2PbAu,Zn,Au,Pb,-2.25,0.125,6.772437450829906,Fm-3m,0.0,0.0,0.0,0.0,0.0
483075,Zn2SbAu,Zn,Au,Sb,-2.352,0.127,6.707395116742924,Fm-3m,0.0,0.0,0.0,0.0,0.0
483622,Zn2SiAu,Zn,Au,Si,-2.624,0.182,6.34920733280408,Fm-3m,0.0,0.0,0.0,0.0,0.0
743813,Zn2SnAu,Zn,Au,Sn,-2.376,0.052,6.7624224829761275,F-43m,0.0,0.0,0.0,0.0,0.0
736853,AlZn2Cd,Zn,Cd,Al,-1.605,0.19,6.563496054404841,F-43m,0.0,0.0,0.0,0.0,0.0
736857,Zn2CdAs,Zn,Cd,As,-1.826,0.195,6.70632802305412,F-43m,0.0,0.0,0.0,0.0,0.0
736852,Zn2CdB,Zn,Cd,B,-1.692,0.836,6.2793816584583615,F-43m,0.0,0.0,0.0,0.0,0.0
736862,Zn2CdBi,Zn,Cd,Bi,-1.669,0.199,7.115367099280736,F-43m,0.0,0.0,0.0,0.0,0.0
736855,Zn2CdGa,Zn,Cd,Ga,-1.481,0.135,6.642637941552575,F-43m,0.0,0.0,0.0,0.0,0.0
483198,Zn2CdGe,Zn,Cd,Ge,-1.807,0.207,6.576222984251527,Fm-3m,0.0,0.0,0.0,0.0,0.0
736858,Zn2CdIn,Zn,Cd,In,-1.379,0.159,6.877318226478563,F-43m,0.0,0.0,0.0,0.0,0.0
484281,MgZn2Cd,Zn,Cd,Mg,-1.213,0.031,6.476681733481805,Fm-3m,0.0,0.0,0.0,0.0,0.0
736861,Zn2CdPb,Zn,Cd,Pb,-1.565,0.219,7.056093519464319,F-43m,0.0,0.0,0.0,0.0,0.0
736860,Zn2CdSb,Zn,Cd,Sb,-1.697,0.191,6.9932997110850295,F-43m,0.0,0.0,0.0,0.0,0.0
736854,Zn2CdSi,Zn,Cd,Si,-1.88,0.335,6.553825242629777,F-43m,0.0,0.0,0.0,0.0,0.0
736859,Zn2CdSn,Zn,Cd,Sn,-1.68,0.156,6.941000722183801,F-43m,0.0,0.0,0.0,0.0,0.0
735485,AlZn2Co,Zn,Co,Al,-3.425,-0.083,5.915862704577443,F-43m,0.0,0.0,0.0,0.0,0.0
734711,Zn2CoAs,Zn,Co,As,-3.361,0.208,6.074189971422741,F-43m,0.0,0.0,0.0,0.0,0.0
715939,Zn2CoB,Zn,Co,B,-3.608,0.467,5.584138791250937,F-43m,0.032,0.0,0.0,0.025,0.0
732566,Zn2CoBi,Zn,Co,Bi,-2.999,0.416,6.504659381121208,F-43m,0.0,0.0,0.0,0.0,0.0
734709,Zn2GaCo,Zn,Co,Ga,-3.153,0.01,5.947844239395955,F-43m,0.024,0.0,0.0,0.021,0.0
734710,Zn2CoGe,Zn,Co,Ge,-3.408,0.154,6.02008086630665,F-43m,0.096,-0.001,0.003,0.078,0.003
734712,Zn2InCo,Zn,Co,In,-2.922,0.163,6.208659422637013,F-43m,0.0,0.0,0.0,0.001,0.0
730182,MgZn2Co,Zn,Co,Mg,-2.804,-0.013,6.035932527484043,Fm-3m,0.0,0.0,0.0,0.002,0.0
734715,Zn2CoPb,Zn,Co,Pb,-2.918,0.413,6.440498398987614,F-43m,0.0,0.0,0.0,0.002,0.0
732564,Zn2CoSb,Zn,Co,Sb,-3.151,0.284,6.32383679859759,F-43m,0.0,0.0,0.0,0.0,0.0
734708,Zn2CoSi,Zn,Co,Si,-3.678,0.084,5.8491269060064885,F-43m,0.0,0.0,0.0,0.0,0.0
734713,Zn2CoSn,Zn,Co,Sn,-3.195,0.189,6.2438788069164,F-43m,0.0,0.0,0.0,0.0,0.0
732652,AlZn2Cu,Zn,Cu,Al,-2.459,0.039,6.091343090645081,F-43m,0.0,0.0,0.0,0.0,0.0
734826,Zn2CuAs,Zn,Cu,As,-2.557,0.168,6.290722887152787,F-43m,0.0,0.0,0.0,0.0,0.0
483169,Zn2CuB,Zn,Cu,B,-2.632,0.599,5.754056368993306,Fm-3m,0.0,0.0,0.0,0.0,0.0
734831,Zn2CuBi,Zn,Cu,Bi,-2.299,0.273,6.713198901459208,F-43m,0.0,0.0,0.0,0.0,0.0
732655,Zn2GaCu,Zn,Cu,Ga,-2.247,0.073,6.159148698908529,F-43m,0.0,0.0,0.0,0.0,0.0
734825,Zn2CuGe,Zn,Cu,Ge,-2.537,0.181,6.260388057888052,F-43m,0.0,0.0,0.0,0.0,0.0
734827,Zn2InCu,Zn,Cu,In,-2.089,0.153,6.400260406071003,F-43m,0.0,0.0,0.0,0.0,0.0
710945,MgZn2Cu,Zn,Cu,Mg,-2.013,-0.065,6.154364892169172,F-43m,0.0,0.0,0.0,0.0,0.0
734830,Zn2CuPb,Zn,Cu,Pb,-2.205,0.283,6.65385985804614,F-43m,0.0,0.0,0.0,0.0,0.0
734829,Zn2CuSb,Zn,Cu,Sb,-2.368,0.223,6.571780339437623,F-43m,0.0,0.0,0.0,0.0,0.0
734823,Zn2CuSi,Zn,Cu,Si,-2.68,0.238,6.10511082916764,F-43m,0.0,0.0,0.0,0.0,0.0
734828,Zn2CuSn,Zn,Cu,Sn,-2.374,0.167,6.52125585855355,F-43m,0.0,0.0,0.0,0.0,0.0
734770,AlZn2Fe,Zn,Fe,Al,-3.599,0.048,5.928029037467879,F-43m,1.46,-0.014,-0.02,1.525,-0.027
734774,Zn2FeAs,Zn,Fe,As,-3.559,0.314,6.076213015692696,F-43m,2.26,0.001,0.003,2.206,0.011
732603,Zn2FeB,Zn,Fe,B,-3.819,0.561,5.587386576880709,F-43m,1.448,-0.012,-0.006,1.478,-0.026
715998,Zn2FeBi,Zn,Fe,Bi,-3.242,0.478,6.669123538900042,F-43m,2.732,-0.006,0.014,2.646,-0.009
734772,Zn2GaFe,Zn,Fe,Ga,-3.341,0.127,5.955372592417172,F-43m,1.712,-0.024,-0.016,1.751,-0.041
715992,Zn2FeGe,Zn,Fe,Ge,-3.61,0.256,6.061442724897548,F-43m,1.584,-0.026,-0.015,1.663,-0.026
734775,Zn2InFe,Zn,Fe,In,-3.113,0.277,6.21929473019272,F-43m,1.936,-0.034,-0.013,1.98,-0.044
701923,MgZn2Fe,Zn,Fe,Mg,-2.984,0.111,6.044119231509476,Fm-3m,2.112,-0.037,-0.037,2.219,-0.013
734778,Zn2FePb,Zn,Fe,Pb,-3.146,0.49,6.600306077020546,F-43m,2.508,-0.022,0.008,2.522,-0.029
732612,Zn2FeSb,Zn,Fe,Sb,-3.332,0.408,6.313417276760822,F-43m,1.772,0.0,-0.017,1.849,-0.019
734771,Zn2FeSi,Zn,Fe,Si,-3.874,0.192,5.850062092992768,F-43m,1.06,-0.003,-0.013,1.091,-0.015
734776,Zn2FeSn,Zn,Fe,Sn,-3.371,0.317,6.237579600404778,F-43m,1.488,-0.022,-0.007,1.54,-0.028
744224,AlZn2Ir,Zn,Ir,Al,-4.057,-0.274,6.099955208844269,F-43m,-0.0,0.0,0.0,0.0,0.0
744228,Zn2AsIr,Zn,Ir,As,-3.892,0.117,6.230718174969228,F-43m,-0.0,0.0,0.0,0.0,0.0
744223,Zn2BIr,Zn,Ir,B,-4.053,0.463,5.816993365211307,F-43m,0.0,0.0,0.0,0.0,0.0
484000,Zn2BiIr,Zn,Ir,Bi,-3.564,0.292,6.590865846291406,Fm-3m,0.0,0.0,0.0,0.0,0.0
744226,Zn2GaIr,Zn,Ir,Ga,-3.711,-0.106,6.133879388475917,F-43m,0.0,0.0,0.0,0.0,0.0
744227,Zn2GeIr,Zn,Ir,Ge,-3.956,0.046,6.207413954314202,F-43m,0.0,0.0,0.0,0.0,0.0
744229,Zn2InIr,Zn,Ir,In,-3.498,0.029,6.358454854524105,F-43m,-0.0,0.0,0.0,0.0,0.0
744232,Zn2IrPb,Zn,Ir,Pb,-3.48,0.293,6.586319996469831,F-43m,-0.004,0.0,0.0,0.001,0.0
744231,Zn2SbIr,Zn,Ir,Sb,-3.721,0.155,6.460621882895858,F-43m,-0.004,0.0,0.0,0.0,0.0
744230,Zn2SnIr,Zn,Ir,Sn,-3.763,0.063,6.422447218740787,F-43m,0.004,0.0,0.0,0.0,0.0
484183,LiAlZn2,Zn,Li,Al,-2.177,-0.134,6.148727345887999,Fm-3m,0.0,0.0,0.0,0.0,0.0
734748,LiZn2As,Zn,Li,As,-2.4,-0.13,6.369647949379713,F-43m,0.0,0.0,0.0,0.0,0.0
482357,LiZn2B,Zn,Li,B,-2.481,0.296,5.626574374124124,Fm-3m,0.0,0.0,0.0,0.0,0.0
