id,formula,X,Y,Z,energy,formation,volume,spacegroup,band_gap,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
562395,Ti2MnGe,Ti,Mn,Ge,-7.624,-0.362,14.499,Fm-3m,0.0,0.184,-0.436,-0.436,1.539,0.026
716625,Ti2MnIn,Ti,Mn,In,-6.876,-0.091,15.784,F-43m,0.0,0.001,-1.322,-1.425,2.679,-0.013
561900,MgTi2Mn,Ti,Mn,Mg,-6.432,0.06,15.183,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
561490,Ti2MnPb,Ti,Mn,Pb,-6.954,0.078,17.292,Fm-3m,0.0,0.219,-0.742,-0.742,2.34,0.036
716627,Ti2MnSb,Ti,Mn,Sb,-7.311,-0.176,15.692,F-43m,0.0,0.497,0.656,1.477,-0.189,-0.003
561383,Ti2MnSi,Ti,Mn,Si,-7.889,-0.427,13.826,Fm-3m,0.0,0.031,-0.31,-0.31,0.752,0.011
562316,Ti2MnSn,Ti,Mn,Sn,-7.277,-0.192,16.47,Fm-3m,0.0,0.197,-0.632,-0.632,2.023,0.024
562732,Ti2MnZn,Ti,Mn,Zn,-6.634,-0.212,14.082,Fm-3m,0.0,,0.0,0.0,0.0,0.0
734351,Ti2AlNi,Ti,Ni,Al,-6.478,-0.301,14.735,F-43m,0.0,0.75,1.135,1.721,0.154,-0.013
561130,Ti2NiAs,Ti,Ni,As,-6.885,-0.481,14.475,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562429,Ti2NiB,Ti,Ni,B,-7.111,-0.201,12.334,Fm-3m,0.0,0.274,0.349,0.349,0.362,0.002
563257,Ti2NiBi,Ti,Ni,Bi,-6.264,-0.014,17.326,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
562574,Ti2GaNi,Ti,Ni,Ga,-6.377,-0.379,14.561,Fm-3m,0.0,0.275,0.323,0.323,0.425,0.025
561505,Ti2NiGe,Ti,Ni,Ge,-6.831,-0.435,14.639,Fm-3m,0.0,0.035,0.046,0.046,0.043,0.0
734357,Ti2InNi,Ti,Ni,In,-6.064,-0.144,16.34,F-43m,0.0,0.75,1.204,1.627,0.142,-0.017
562961,MgTi2Ni,Ti,Ni,Mg,-5.583,0.043,15.514,Fm-3m,0.0,0.493,0.657,0.657,0.504,0.016
563432,Ti2NiPb,Ti,Ni,Pb,-6.161,0.005,17.019,Fm-3m,0.0,-0.0,0.0,0.0,0.0,0.0
563402,Ti2NiSb,Ti,Ni,Sb,-6.536,-0.266,16.325,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
563308,Ti2SiNi,Ti,Ni,Si,-7.069,-0.473,14.11,Fm-3m,0.0,-0.001,-0.002,-0.002,-0.002,0.0
561526,Ti2ZnNi,Ti,Ni,Zn,-5.796,-0.239,14.391,Fm-3m,0.0,0.469,0.623,0.623,0.501,0.042
736497,Ti2AlPd,Ti,Pd,Al,-6.554,-0.475,15.749,F-43m,0.0,0.75,1.121,1.743,0.088,-0.018
562391,Ti2AsPd,Ti,Pd,As,-6.879,-0.573,15.662,Fm-3m,0.0,0.005,0.009,0.009,0.0,-0.001
562328,Ti2BPd,Ti,Pd,B,-6.913,-0.1,13.71,Fm-3m,0.0,0.3,0.517,0.517,0.128,-0.015
561499,Ti2BiPd,Ti,Pd,Bi,-6.367,-0.214,18.183,Fm-3m,0.0,0.008,0.014,0.014,0.0,0.0
736500,Ti2GaPd,Ti,Pd,Ga,-6.363,-0.462,15.772,F-43m,0.0,0.749,1.199,1.702,0.091,-0.022
563115,Ti2GePd,Ti,Pd,Ge,-6.809,-0.509,15.866,Fm-3m,0.0,0.159,0.268,0.268,0.062,-0.004
736503,Ti2InPd,Ti,Pd,In,-6.16,-0.337,17.156,F-43m,0.0,0.75,1.196,1.655,0.083,-0.023
561031,MgTi2Pd,Ti,Pd,Mg,-5.624,-0.095,16.825,Fm-3m,0.0,0.49,0.772,0.772,0.203,0.01
561388,Ti2PdPb,Ti,Pd,Pb,-6.244,-0.174,17.975,Fm-3m,0.0,0.508,0.88,0.88,0.091,-0.026
561149,Ti2SbPd,Ti,Pd,Sb,-6.601,-0.429,17.33,Fm-3m,0.0,0.001,0.002,0.002,0.0,0.0
562386,Ti2SiPd,Ti,Pd,Si,-7.014,-0.515,15.284,Fm-3m,0.0,0.406,0.691,0.691,0.129,-0.02
561877,Ti2SnPd,Ti,Pd,Sn,-6.525,-0.403,17.428,Fm-3m,0.0,0.472,0.812,0.812,0.106,-0.021
