pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
LiAlNi2,Ni,Li,Al,-18.81294988,-4.70323747,45.96269497543891,-0.3995444558333334,225,0.0,5.466499908697053,0.0058836
LiSiNi2,Ni,Li,Si,-20.92357349,-5.2308933725,42.480295560242766,-0.48951581083333284,225,0.0,5.957779614798409,0.010803
LiGaNi2,Ni,Li,Ga,-17.85438142,-4.463595355,46.077102472355136,-0.33927229270833337,225,0.0,6.993255153105835,0.0091492
LiNi2Ge,Ni,Li,Ge,-19.54247687,-4.8856192175,45.64763905530264,-0.3625631970833343,225,0.0,7.165161956481541,0.0029576
LiNi2Sn,Ni,Li,Sn,-18.57443349,-4.6436083725,53.80836513885721,-0.27391635208333387,225,0.0,7.500204856978278,0.0004019
LiNi2Sb,Ni,Li,Sb,-18.83472002,-4.708680005,53.42758259904997,-0.35713063833333347,225,0.0,7.648453960200582,0.0042244
LiZnNi2,Ni,Li,Zn,-15.29616565,-3.8240414125,46.763709644332195,-0.14180645333333342,225,0.0,6.737390407389485,0.0018634
MgAlNi2,Ni,Mg,Al,-18.58361429,-4.6459035725,51.29025682959141,-0.41937126250000034,225,0.0,5.4608552491699625,0.0024331
MgGaNi2,Ni,Mg,Ga,-17.53256693,-4.3831417325,51.643213028704054,-0.33597937437500036,225,0.0,6.797844558244274,0.0021197
MgInNi2,Ni,Mg,In,-16.69747027,-4.1743675675,58.98125279680348,-0.1963082825,225,0.0,7.2216937360278814,0.0008802
MgNi2Sn,Ni,Mg,Sn,-18.27435946,-4.568589865,58.55765804761721,-0.27605854875,225,0.0,7.384300812736397,0.0016372
MgNi2Sb,Ni,Mg,Sb,-18.24158089,-4.5603952225,58.66510647411304,-0.2860065600000006,225,0.0,7.457107510051682,0.0001719
MgZnNi2,Ni,Mg,Zn,-15.24766678,-3.811916695,51.40058806431292,-0.20684243999999996,225,0.0,6.690564876297202,0.0028854
MgZn2Rh,Zn,Rh,Mg,-12.84228987,-3.2105724675,59.90171827292802,-0.33955368250000006,225,0.0,7.152823272848237,0.0007182
MgZn2Ir,Zn,Ir,Mg,-14.0871657,-3.521791425,59.80669458445983,-0.2822420025000003,225,0.0,9.643931058224917,0.0031957
MgZn2Pt,Zn,Pt,Mg,-12.00811312,-3.00202828,61.33929283688078,-0.45435953500000004,225,0.0,9.480585412734571,0.0007972
LiAlZn2,Zn,Li,Al,-8.7324886,-2.18312215,60.12141451124549,-0.13962567083333344,225,0.0,4.550094212218796,0.0003944
LiZn3,Zn,Li,Zn,-6.36570007,-1.5914250175,57.79613742825347,-0.1693865933333334,225,0.0,5.837213628709853,3.72e-05
Sc2MnSi,Sc,Mn,Si,-28.05351908,-7.01337977,64.90111280564861,-0.18256288948275756,216,0.0,4.424668912555123,1.0008547
Sc2MnSi,Sc,Mn,Si,-28.40024649,-7.1000616225,65.33781036033325,-0.2692447419827575,225,0.0,4.395095804981639,0.375598
Sc2MnGe,Sc,Mn,Ge,-27.69924297,-6.9248107425,72.59053421652271,-0.3123154032327582,225,0.0,4.975172423817386,2.5960569
Sc2MnGe,Sc,Mn,Ge,-27.19543929,-6.7988598225,67.30749713716108,-0.186364483232758,216,0.0,5.365679001972899,1.0010671
Sc2MnSn,Sc,Mn,Sn,-26.55009701,-6.6375242525,76.72867971828792,-0.1783929132327584,216,0.0,5.703883612611752,1.0002808
Sc2MnSn,Sc,Mn,Sn,-26.88528219,-6.7213205475,81.90356735763451,-0.2621892082327584,225,0.0,5.343496907179382,2.6752959
Sc2GaNi,Sc,Ni,Ga,-23.6262173,-5.906554325,69.56529116587261,-0.5382615968749995,225,0.0,5.2115435617015295,0.0089426
Sc2AlCu,Sc,Cu,Al,-21.88078214,-5.470195535,74.53962377498324,-0.34276535749999937,225,0.0,4.01969577488346,3.94e-05
Sc2GaCu,Sc,Cu,Ga,-21.66540498,-5.416351245,72.68048377994964,-0.46829101937500006,225,0.0,5.099037016457179,0.0003539
Sc2ZnCu,Sc,Cu,Zn,-19.29503247,-4.8237581175,72.35151288610608,-0.3177859949999995,225,0.0,5.023210948011268,9.48e-05
Sc2AlRu,Sc,Ru,Al,-27.80335789,-6.9508394725,71.72245249840516,-0.5296135487499996,225,0.0,5.046351122653668,0.0002217
Sc2GaRu,Sc,Ru,Ga,-27.37734918,-6.844337295,70.68683510262744,-0.6024813231249997,225,0.0,6.124344716729095,1.2e-06
Sc2ZnRu,Sc,Ru,Zn,-25.17529544,-6.29382386,70.24093897875858,-0.49405599124999977,225,0.0,6.061237018749339,0.0005205
MgSc2Ru,Sc,Ru,Mg,-24.76408101,-6.1910202525,75.35739241140128,-0.3061182737500001,225,0.0,4.743956370259851,0.000345
Sc2GaPd,Sc,Pd,Ga,-23.8716104,-5.9679026,75.00337788192031,-0.749673589375,225,0.0,5.890327097066418,0.000944
Sc2ZnPd,Sc,Pd,Zn,-21.64284759,-5.4107118975,74.36790618246907,-0.6345709899999994,225,0.0,5.844333744043629,7.3e-06
Sc2AlAg,Sc,Ag,Al,-20.68714793,-5.1717869825,81.04142093956997,-0.3610194716666655,225,0.0,4.605365392663385,0.0121509
Sc2GaAg,Sc,Ag,Ga,-20.40713212,-5.10178303,79.23828678340044,-0.4703854710416664,225,0.0,5.60586605058569,0.0146416
